640.000,252.750
1385.000,393.375
2179.000,496.500
2900.000,534.000
3477.000,534.000
4127.000,534.000
5006.000,534.000
5700.000,486.400
6265.000,382.800
6731.000,275.000
7227.000,275.000
7804.000,275.000
8387.000,285.000
8954.000,315.000
9535.000,355.000
10122.000,385.000
10924.000,456.600
11944.000,545.400
12972.000,597.000
13776.000,614.800
15042.000,516.800
16438.000,418.800
17672.000,336.600
18181.000,305.800
18649.000,290.000
19201.000,360.000
19854.000,440.000
20545.000,465.000
21412.000,495.200
22409.000,616.000
23478.000,757.100
24702.000,778.500
