27.000,252.750
55.000,393.375
75.000,496.500
100.000,534.000
128.000,534.000
151.000,534.000
178.000,534.000
203.000,486.400
235.000,382.800
275.000,275.000
312.000,275.000
344.000,275.000
376.000,285.000
410.000,315.000
449.000,355.000
485.000,385.000
525.000,456.600
560.000,545.400
591.000,597.000
630.000,614.800
657.000,516.800
684.000,418.800
713.000,336.600
748.000,305.800
782.000,290.000
820.000,360.000
852.000,440.000
889.000,465.000
927.000,495.200
960.000,616.000
995.000,757.100
1026.000,778.500
