415.047,1.000
1703.878,1.000
2790.569,1.000
3871.532,1.000
4793.864,1.000
5664.813,1.000
6611.024,1.000
7422.322,1.000
7999.413,1.000
8451.284,1.000
8988.432,1.000
9590.588,1.000
10335.239,1.000
10979.014,1.000
11460.644,1.000
11871.687,1.000
12268.402,1.000
13016.989,1.000
13600.016,1.000
14527.196,1.000
15360.721,1.000
16219.220,1.000
17241.648,1.000
18277.773,1.000
19339.352,1.000
20299.131,1.000
21260.076,1.000
22384.863,1.000
23097.695,1.000
23668.314,1.000
24730.772,1.000
25805.148,1.000
26679.859,1.000
